|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
860|2D||Brush, Ink|Vellum, Paper|Yes|19.5 x 25.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b649b79608c29087873d84d8eb673793.jpg|Tête de femme|HENRI MATISSE|May 4, 2005|600,000 - 800,000 USD|598,400 USD|images/henri_matisse/b649b79608c29087873d84d8eb673793.jpg
861|2D|1952|Gouache, Collage|Paper|Yes|17.75 x 15.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7e865632460763911969773bd550093b.jpg|Algue rouge sur fond bleu ciel|HENRI MATISSE|Feb 10, 2005|556,934 - 742,579 USD|1,158,423 USD|images/henri_matisse/7e865632460763911969773bd550093b.jpg
862|2D|1944|Pencil|Paper|Yes|20.5 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3c4906f62438f8d6ffe2839cb8528954.jpg|Femme allongée|HENRI MATISSE|Feb 10, 2005|64,975 - 83,540 USD|93,564 USD|images/henri_matisse/3c4906f62438f8d6ffe2839cb8528954.jpg
863|2D|1938|Pen, Ink|Paper|Yes|15 x 20 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3d981609738b263ae35ca4ea18cf01d9.jpg|Femmes assises|HENRI MATISSE|Feb 10, 2005|278,467 - 371,289 USD|326,734 USD|images/henri_matisse/3d981609738b263ae35ca4ea18cf01d9.jpg
864|2D|1925|Charcoal, Estompe|Paper|Yes|24.5 x 19 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5a357bfc775acdff5a5ce7587bf8b71c.jpg|Jeune femme accroupie|HENRI MATISSE|Feb 10, 2005|222,773 - 297,031 USD|347,526 USD|images/henri_matisse/5a357bfc775acdff5a5ce7587bf8b71c.jpg
865|2D|1944|Pen, Ink, Pencil|Paper|Yes|15.75 x 20.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a7a8e444da8d9ea653eee053d4bccbf6.jpg|La lecture|HENRI MATISSE|Feb 10, 2005|92,822 - 129,951 USD|133,664 USD|images/henri_matisse/a7a8e444da8d9ea653eee053d4bccbf6.jpg
866|2D|1943|Pencil|Paper|Yes|20.875 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e2d722d3e77b4464e78697ae20efc03f.jpg|Madame Leriche|HENRI MATISSE|Feb 10, 2005|46,411 - 64,975 USD|55,693 USD|images/henri_matisse/e2d722d3e77b4464e78697ae20efc03f.jpg
867|2D|1949|Pen, India Ink|Paper|Yes|15 x 20.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cbdccbf6119d87a7d55c058cbb06b5f4.jpg|Buste de jeune femme au bracelet et collier|HENRI MATISSE|Nov 4, 2004|80,000 - 120,000 USD|107,550 USD|images/henri_matisse/cbdccbf6119d87a7d55c058cbb06b5f4.jpg
868|2D|1927|Pen, India Ink|Paper|Unknown|11 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4d4fd898ad52200b87785fca2620df4a.jpg|Nu allongé ornemental|HENRI MATISSE|Nov 4, 2004|180,000 - 220,000 USD|332,300 USD|images/henri_matisse/4d4fd898ad52200b87785fca2620df4a.jpg
869|2D|1952|Charcoal|Paper|Yes|14.5 x 10.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a282867aff72226608a75f3eb76f2935.jpg|Tête de femme|HENRI MATISSE|Nov 4, 2004|35,000 - 45,000 USD|65,725 USD|images/henri_matisse/a282867aff72226608a75f3eb76f2935.jpg
870|2D|1920|Oil|Canvas|Yes|18.125 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6818e48776bd70df26feb77811f11220.jpg|Femme en négligé, Kimono|HENRI MATISSE|Nov 3, 2004|1,800,000 - 2,500,000 USD|2,023,500 USD|images/henri_matisse/6818e48776bd70df26feb77811f11220.jpg
871|2D|1928|Pencil|Paper|Yes|10.625 x 14.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d149ad9ebb522b33274175d2cf81131c.jpg|Nu au fauteuil arabe|HENRI MATISSE|Oct 21, 2004|27,402 - 36,536 USD|37,111 USD|images/henri_matisse/d149ad9ebb522b33274175d2cf81131c.jpg
872|2D|1939|Pencil|Paper|Unknown|16.375 x 12.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/08e0bfc134c1e9ab9bb5c20b26073564.jpg|Jeune femme accoudée à la blouse roumaine|HENRI MATISSE|Jun 24, 2004|108,863 - 145,151 USD|125,756 USD|images/henri_matisse/08e0bfc134c1e9ab9bb5c20b26073564.jpg
873|2D|1946|Charcoal|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b4c647d10a4d73b7f1327e72a974b0df.jpg|Carmen|HENRI MATISSE|Jun 22, 2004|509,861 - 637,326 USD|580,604 USD|images/henri_matisse/b4c647d10a4d73b7f1327e72a974b0df.jpg
874|2D|1923|Oil|Canvas|Yes|46.5 x 33 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/901f1cdc4c600d931bb5d5bd83638bec.jpg|TORSE NU OR FEMME EN BUSTE, BRAS LEVES|HENRI MATISSE|Jun 21, 2004|915,979 - 1,282,371 USD|4,524,207 USD|images/henri_matisse/901f1cdc4c600d931bb5d5bd83638bec.jpg
875|2D||Gouache|Paper, Canvas|Yes|14.5 x 21 inch||LES QUATRE ROSACES AUX MOTIFS BLEUS|HENRI MATISSE|May 6, 2004|2,500,000 - 3,500,000 USD|2,584,000 USD|
876|2D|1935|Pencil|Paper|Unknown|9.375 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/13de0bb4fd31bab61251913357eb8f3f.jpg|Faun|HENRI MATISSE|May 5, 2004|15,000 - 20,000 USD|16,730 USD|images/henri_matisse/13de0bb4fd31bab61251913357eb8f3f.jpg
